Sample ID,Sample Date,Lab,Analysis Date,Parameter,Result,Unit,RL,MDL,Method,Sample Depth m
BMR02,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,06/21/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.34,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,07/05/23,UMWL,08/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.28,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.28,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
BMR02,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.39,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,07/05/23,UMWL,08/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.23,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.29,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.36,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
EEB18,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,05/24/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.28,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.34,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,07/18/23,UMWL,09/21/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.35,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,08/17/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.31,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,09/07/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR2,10/03/23,UMWL,11/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR4,05/24/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.45,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR4,06/22/23,UMWL,07/27/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.88,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR4,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.62,MG/L,0.1,0.073,SM4500NE_2021,0.2
HR4,08/17/23,UMWL,10/23/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.47,MG/L,0.1,0.073,SM4500NE_2021,0.2
