SiteID,Date,Time,Cloud Cover,Wind Speed,Wind Direction,Water Depth,Secchi Depth
BMR02,05/23/23,12:32,50,3,120,10.7,1.9
BMR02,06/21/23,12:42,0,3,180,9.3,2.6
BMR02,07/19/23,12:16,50,3,180,11.3,1.8
BMR02,08/16/23,12:12,100,3,180,11,1.9
BMR02,09/06/23,12:18,0,0,,7,1.9
BMR02,10/04/23,12:25,25,1,160,9.5,2.7
EEB18,05/23/23,12:45,50,3,150,3.2,1.8
EEB18,06/22/23,8:45,0,1,45,0.8,BSV
EEB18,07/19/23,12:27,75,1,180,3.7,1.9
EEB18,08/16/23,12:20,100,3,180,4.5,2
EEB18,09/06/23,12:26,0,0,,2.4,2
EEB18,10/04/23,12:33,0,2,160,3.2,2.5
HR2,05/24/23,10:22,50,2,180,,
HR2,06/22/23,10:16,0,1,180,4.9,1.4
HR2,07/18/23,10:06,75,1,180,6.4,1.3
HR2,08/17/23,9:32,100,0,,5.7,1.8
HR2,09/07/23,8:59,0,0,,6,3.2
HR2,10/03/23,13:39,25,0,,7.2,2.1
HR4,05/24/23,13:51,75,3,180,,
HR4,06/22/23,13:17,0,3,180,1.5,0.3
HR4,07/18/23,10:24,100,1,180,1.6,0.4
HR4,08/17/23,9:55,100,0,,1,0.5
HR4,09/07/23,9:20,0,0,,0.6,0.4
HR4,10/03/23,13:21,25,0,,2.4,1.1
MPL86,05/24/23,12:41,100,1,180,,
MPL86,06/22/23,12:10,0,3,180,3.4,2.0
MPL86,07/18/23,12:44,100,2,210,4.7,1.3
MPL86,08/17/23,12:10,100,2,90,5.7,1.4
MPL86,09/07/23,12:01,0,1,315,2.6,1.7
MPL86,10/04/23,10:28,0,2,180,3.1,1.9
NMM79,05/24/23,11:02,50,1,180,,
NMM79,06/22/23,10:56,0,1,180,2.1,1.2
NMM79,07/18/23,11:05,100,2,180,3.7,1.3
NMM79,08/17/23,10:33,100,0,,3.4,1.2
NMM79,09/07/23,9:55,0,0,,4.4,2.4
NMM79,10/03/23,11:46,25,1,180,3.5,1.5
OBY35,05/24/23,11:58,100,1,180,,
OBY35,06/29/23,9:42,100,2,135,5.6,2.9
OBY35,07/18/23,12:00,100,2,180,6.0,2.5
OBY35,08/17/23,11:23,100,0,,5.6,3.2
OBY35,09/07/23,10:33,0,0,,4,3
