SiteID,Date,Time,Sample Depth m,Temp °C,Sal psu,ODO mg/L,ODO % sat,pH,Chlorophyll ug/L,Turbidity FNU
BMR02,5/23/2023,12:32,0.2,11.3,27.5,9.3,100.7,7.93,1.2,2.7
BMR02,5/23/2023,12:32,1,10.9,28.1,9.3,100.3,7.93,1.5,2.6
BMR02,5/23/2023,12:32,2.1,10.9,28.2,9.3,100.6,7.93,1.7,2.6
BMR02,5/23/2023,12:33,3,10.3,29.5,9.3,100,7.93,2,2.4
BMR02,6/21/2023,12:42,0.1,17.4,22.7,8.3,99.8,7.92,2.8,2.8
BMR02,6/21/2023,12:42,1,14.6,29.1,8.2,96.8,7.96,2.7,2
BMR02,6/21/2023,12:42,2,13.9,30.2,8.2,95.4,7.96,3.4,2
BMR02,7/19/2023,12:16,0.2,18,27.4,8.2,102.2,8.05,6.1,2.2
BMR02,8/16/2023,12:12,0.2,19.2,24.8,8.5,106,8.01,6.3,1.4
BMR02,8/16/2023,12:12,1,17.4,28.9,8.2,101.6,8,6.5,1.4
BMR02,9/6/2023,12:18,0.1,20.7,18.6,8.3,102.8,7.98,2.7,1.9
BMR02,10/4/2023,12:25,0.2,16.3,28.3,8.3,100,8,2.4,0.8
EEB18,5/23/2023,12:45,0.2,11,28,9.3,100.7,7.93,1.2,2.2
EEB18,6/22/2023,8:45,0.2,16.6,20.5,8.4,97.1,8.03,2.1,2.8
EEB18,7/19/2023,12:27,0.2,17.6,28.3,8.2,101.4,8.06,7,2.3
EEB18,8/16/2023,12:20,0.1,18.3,27.4,8.3,103.5,8,5.9,1.3
EEB18,9/6/2023,12:26,0.1,21.2,18.9,8.1,102.3,7.96,2.2,1.5
EEB18,10/4/2023,12:33,0.2,16.3,28.4,8.1,98.5,7.99,1.7,0.6
HR2,5/24/2023,10:22,0,14,28,8.2,94.9,7.82,1.4,2.4
HR2,5/24/2023,10:22,1,13.8,28.1,8.3,95.1,7.83,1.8,2.6
HR2,6/22/2023,10:16,0.2,18.3,28.9,7.3,92.5,8.04,2.4,3.2
HR2,7/18/2023,10:06,0.2,20.8,28.2,7.1,94.1,7.9,12.5,2.8
HR2,8/17/2023,9:32,0.4,20.2,28.5,7.5,97.9,7.9,7.9,1.3
HR2,9/7/2023,8:59,0,20.2,30.3,7.7,101.7,7.91,3.9,1.5
HR2,10/3/2023,13:39,0.1,16,30.6,8,97.8,8.02,3.4,0.9
HR4,5/24/2023,13:51,0.1,18.1,23.7,8.4,102.4,7.78,2.7,16.9
HR4,5/24/2023,13:52,1.1,15,27.5,8.1,95,7.8,3.6,10.4
HR4,6/22/2023,13:17,0.3,22,28.1,7.1,95.1,7.79,3.3,16
HR4,7/18/2023,10:24,0.2,24,25.5,6.7,91.4,7.79,12.7,11.3
HR4,8/17/2023,9:55,0.2,20.5,27.7,6.3,82.2,7.76,14.3,13
HR4,8/17/2023,9:56,0.5,20.5,27.9,6.3,81.9,7.77,11.4,14.6
HR4,9/7/2023,9:20,0,20.9,30,5.9,78.7,7.74,3.8,11.5
HR4,10/3/2023,13:21,0.3,18.9,30.1,9,115.5,8.03,2.5,2.1
MPL86,5/24/2023,12:41,0.2,13.6,30.5,9.1,105.4,7.94,1,1.5
MPL86,5/24/2023,12:41,1,13.5,30.5,9.1,105.4,7.95,1.1,1.4
MPL86,6/22/2023,12:10,0.3,18.3,30.8,8.2,104.9,7.98,2.3,2.2
MPL86,7/18/2023,12:44,0.2,22.3,28.6,8.4,114.2,8.16,16.4,2.5
MPL86,8/17/2023,12:10,0.3,21.7,30.1,7.7,104.1,8.1,6.5,1.6
MPL86,9/7/2023,12:01,0.1,20.7,30.5,8.2,109.2,8.06,2.7,1
MPL86,10/4/2023,10:28,0.1,16.5,30.7,8.1,100.4,8.04,3.3,0.9
NMM79,5/24/2023,11:02,0.2,15.9,27.1,8.3,99,7.78,2.7,3.9
NMM79,6/22/2023,10:56,0.3,19.3,28.8,7.7,99.4,7.99,4.7,4.6
NMM79,7/18/2023,11:05,0.2,24.8,27.5,5.8,81.5,7.56,9.4,3.5
NMM79,8/17/2023,10:33,0.2,22.8,29.2,6.4,87.7,7.69,8.7,2.9
NMM79,9/7/2023,9:55,0.1,21.7,29.3,6.7,90.2,7.76,4.8,2
NMM79,10/3/2023,11:46,0.2,17.3,29.1,8,99,7.85,3.7,1.2
