WQX,MassWateR,RI_WW,RI_DEM
"1,1,1,2-Tetrachloroethane",,,"1,1,2,2 Tetrachloroethane - 34516"
"1,1,1-Trichloroethane",,"1,1,1 Trichloroethane - 34506","1,1,1 Trichloroethane - 34506"
"1,1,2-Trichloroethane",,,"1,1,2 Trichloroethane - 34511"
"1,1-Dichloroethane",,,"1,1 Dichloroethane - 34496"
"1,1-Dichloroethylene",,,"1,1 Dichloroethylene - 34501"
"1,2-Dichlorobenzene-d4",,"1,2 Dichlorobenzene - 34536","1,2 Dichlorobenzene - 34536"
"1,4-Dichlorobenzene-d4",,"1,4 Dichlorobenzene - 34571","1,4 Dichlorobenzene - 34571"
"Algae, blue-green (phylum cyanophyta) density","Algae, blue-green (phylum cyanophyta) density|Cyanobacteria (lab)",,
Alkalinity,,Alkalinity - 00410,Alkalinity - 00410
Ammonia,Ammonia,"Nitrogen, Ammonia Dissolved as N - 00608","Nitrogen, Ammonia Dissolved as N - 00608"
Ammonium,Ammonium,,
Benzene,,Benzene - 34030,Benzene - 34030
Calcium,,"Calcium, Dissolved - 00915","Calcium, Dissolved - 00915"
Chloride,Chloride,Chloride - 00940,Chloride - 00940
Chloroform,,Chloroform - 32106,Chloroform - 32106
Chlorophyll a,Chlorophyll a|Chl a,,
Chlorophyll a (probe),Chlorophyll a (probe)|Chl a (probe),,
"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)","Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)|Cyanobacteria (probe)",,
"Chlorophyll a, corrected for pheophytin",,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209","Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209"
Conductivity,Conductivity,,
Depth,Depth,"Depth to bottom from water surface at sampling location, meters - 82903","Depth to bottom from water surface at sampling location, meters - 82903"
"Depth, Secchi disk depth","Depth, Secchi disk depth|Secchi Depth",Secchi Depth - 00069,Secchi Depth - 00069
Dissolved oxygen (DO),Dissolved oxygen (DO)|DO,Dissolved Oxygen - 00300,Dissolved Oxygen - 00300
Dissolved oxygen saturation,Dissolved oxygen saturation|DO saturation,,Dissolved Oxygen Percent Saturation - 00301
Enterococcus,Enterococcus,Enterococci - 31639,Enterococci - 31639
Escherichia coli,Escherichia coli|E.coli,E.coli - 31633,E.coli - 31633
Ethylbenzene,,Ethylbenzene - 34371,Ethylbenzene - 34371
Ethylene glycol,,"Ethylene Glycol, water, unfiltered, recoverable - 91075","Ethylene Glycol, water, unfiltered, recoverable, mg/l - 91075"
Fecal Coliform,Fecal Coliform,Fecal Coliform - 74055,Fecal Coliform - 74055
Flow,Flow,,Flow - 50050
"Height, gage","Height, gage|Gage",,
Magnesium,,Magnesium - 00927,Magnesium - 00927
Metals,Metals,,
Methylene Chloride,,Methylene Chloride - 34423,Methylene Chloride - 34423
Microcystins,Microcystins,,
Nitrate,Nitrate,,
Nitrate + Nitrite,Nitrate + Nitrite,"Nitrate + Nitrite, Dissolved - 00631","Nitrate + Nitrite, Dissolved - 00631"
Nitrite,Nitrite,,
Orthophosphate,Orthophosphate|Ortho P,,
Particulate organic carbon,Particulate organic carbon|POC,,
pH,pH,pH - 00400,pH - 00400
Pheophytin a,Pheophytin a|Pheophytin,,
"Phosphorus, Particulate Organic","Phosphorus, Particulate Organic|POP",,
Phycocyanin,Phycocyanin,,
Phycocyanin (probe),Phycocyanin (probe),,
Propylene glycol,,"Propylene Glycol, water, unfiltered, recoverable - 91080","Propylene Glycol, water, unfiltered, recoverable, mg/l - 91080"
Salinity,Salinity,"Salinity, (ppt) - 00480","Salinity, (ppt) - 00480"
Silicate,Silicate,,
Specific conductance,Specific conductance|Sp Conductance,,
Sulfate,Sulfate,Sulfate as SO4 - 00945,Sulfate as SO4 - 00945
Surfactants,Surfactants,,Surfactants - 38260
"Temperature, air","Temperature, air|Air Temp",,
"Temperature, water","Temperature, water|Water Temp",Temperature - 00011,Temperature - 00011
Tetrachloroethylene,,Tetrachloroethylene - 34475,Tetrachloroethylene - 34475
Toluene,,Toluene - 34010,Toluene - 34010
Total Coliform,,Total coliform - 31502,Total Coliform - 31502
Total dissolved solids,Total dissolved solids|TDS,"Solids, Total Dissolved (Electrical Conductivity) - 47004","Solids, Total Dissolved (Electrical Conductivity), mg/l - 47004"
Total Kjeldahl nitrogen,Total Kjeldahl nitrogen|TKN,,
"Total Nitrogen, mixed forms","Total Nitrogen, mixed forms|TN|PON|TDN","Nitrogen, Total (unfiltered) - 00600","Nitrogen, Total (unfiltered) - 00600"
"Total Phosphorus, mixed forms","Total Phosphorus, mixed forms|TP|TDP","Phosphorus, Total - 00665","Phosphorus, Total - 00665"
Total suspended solids,Total suspended solids|TSS,TSS - 00530,TSS - 00530
Trichloroethylene,,Trichloroethylene - 39180,Trichloroethylene - 39180
Turbidity,Turbidity,Turbidity - 00076,Turbidity - 00070
,,Nitrate-Nitrite as N - 00630,Nitrate-Nitrite as N - 00630
,,"Phosphorus, Dissolved - 00666","Phosphorus, Dissolved - 00666"
,,"Sodium, Dissolved as NA - 00930","Sodium, Dissolved as NA - 00930"
,,,"1,2 Dichloroethane - 34531"
,,,"1,2 Dichloropropane - 34541"
,,,"1,2 Diphenylhydrazine - 34346"
,,,"1,2 Trans-Dichloroethylene - 34546"
,,,"1,2,4 Trichlorobenzene - 34551"
,,,"1,3 Dichlorobenzene - 34566"
,,,"1,3 Dichloropropene - 34699"
,,,2 Chloronaphthalene - 34581
,,,2 Chlorophenol - 34586
,,,2 Nitrophenol - 34591
,,,"2,4 Dichlorophenol - 34601"
,,,"2,4 Dimethylphenol - 34606"
,,,"2,4 Dinitrophenol - 34616"
,,,"2,4 Dinitrotoluene - 34611"
,,,"2,4,6 Trichlorophenol - 34621"
,,,"2,6 Dinitrotoluene - 34626"
,,,2-Chloroethylvinyl Ether - 34576
,,,"3,3 Dichlorobenzidene - 34631"
,,,"3,4 Benzofluoranthene - 34230"
,,,4 Bromophenyl Phenyl Ether - 34636
,,,4 Chlorophenyl Phenyl Ether - 34641
,,,"4,4 DDD - 39310"
,,,"4,4 DDE - 39320"
,,,"4,4 DDT - 39300"
,,,Acenapthene - 34205
,,,Acenapthylene - 34200
,,,"Acids, Total Volatile - 00700"
,,,Acrolein - 34210
,,,Acrylonitrile - 34215
,,,Aldrin - 39330
,,,Alpha-Endosulfan - 79617
,,,Aluminum - 01105
,,,"Aluminum, Dissolved (as AL) - 01106"
,,,Anthracene - 34220
,,,"Antimony, Total - 01097"
