WQX,MassWateR,RI_DEM,RI_WW,ME_DEP,ME_FOCB,Flag,Description
GT,AQL,,,G,G,Over-Detect,The listed result is greater than the upper quantitation limit for either the analytical method or the meter used for the measurement. Equivalent to the Legacy STORET Remark Code of L: Actual Value is known to be greater than the value given.
DL,BDL,U,U,UJH,,Non-Detect,Not Detected: The analyte was not detected at a level >= to the Method Detection Limit for the analysis.
Q,Q,,,R,,Suspect,The result did not pass the lab quality checks and there was an insufficient amount of the sample for re-analysis.
J-R,,I,,,,Suspect,Approximate value result is below the reporting level but greater than the method detection limit
NRR,,N,N,,,Suspect,"No Result Reported, other"
B,,V,,B|JB,,Suspect,"Detection in blank, Analyte found in sample and associated blank"
,,,Z,,,,
AR,,,,*|B*|J*,,Suspect,counts outside acceptable range
DI,,,,D,,Pass,Dilution required
J,,,,J,J,Pass,Estimated: The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample.
BQL,,,,U|UJ,,Non-Detect,Below Quantitation Limit
$,,,,,,Suspect,Incorrect sample container
&,,,,,,Pass,biological organism established as dominant
(,,,,,,Suspect,blank greater than the sample-specific Critical Level
),,,,,,Suspect,sample specific MDC (Minimum Detectable Change) above contractual MDC
*,,,,,,Suspect,Sample was warm when received
^,,,,,,Suspect,Yield outside of contractual acceptable range (USGS)
+,,,,,,Suspect,Recovery is outside acceptance limits and/or RPD exceeds control limits
<2B,,,,,,Non-Detect,Result was <2 times the blank concentration - set to Not Detected
=,,,,,,Pass,Equal To
2-5B,,,,,,Non-Detect,Result was between 2-5 times the blank concentration - set to Detected Not Quantified
A,,,,,,Suspect,Compound not analyzed
AC,,,,,,Pass,sample variability described see activity comment for more details
AL,,,,,,Pass,Aldol condensation present. Analyte may not be present.
ALK,,,,,,Pass,"Estimate, Alkylated PAH Sum"
ALT,,,,,,Pass,Alternate Method
AP,,,,,,Pass,The analyte was positively identified and the associated numerical value is the approximate concentration of the analyte in the sample. And serial dilution acceptance criteria not met
B3,,,,,,Not Reviewed,Target analyte detected in calibration blank at or above the method reporting limit
BAC,,,,,,Pass,"Correction Factor, background"
BRL,,,,,,Non-Detect,Below Reporting Limit
BS,,,,,,Suspect,Compound was found in the blank and sample
BSR,,,,,,Suspect,Lab spiked blank acceptance criteria not met
BT,,,,,,Suspect,Detection in Trip Blank
BVER,,,,,,Suspect,Continuing calibration blank criteria was not met
C,,,,,,Suspect,Presence of compound may be due to contamination of sample during laboratory processing
C25,,,,,,Suspect,Dual Column result difference >25%
C40,,,,,,Not Reviewed,Dual Column result difference >40%
CAJ,,,,,,Pass,"Correction Factor, lab"
CAN,,,,,,Suspect,"No Result Reported, analysis canceled"
CBC,,,,,,Suspect,"No Result Reported, cannot be calculated"
CBG,,,,,,Suspect,"CC B G; Co-eluting congener, analyte found in sample and associated blank, and lock mass interference present"
CBL,,,,,,Pass,"Correction Factor, blank"
CC,,,,,,Pass,co-eluting congener
CDI,,,,,,Pass,"Correction Factor, dilution"
CG,,,,,,Pass,CC G; Co-eluting congener and lock mass interference present
CKB,,,,,,Pass,"CC PK B; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and analyte found in sample and associated blank"
CKBJ,,,,,,Pass,"CC PK B J;Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration), analyte found in sample and associated blank, and the reported result is an estimate (the value is less than the minimum calibration level"
CKG,,,,,,Pass,"CC PK G; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and lock mass interference present"
CKJ,,,,,,Pass,"CC PK J; Co-eluting congener, peak detected but did not meet quantification criteria (result reported represents the estimated maximum possible concentration) and the reported result is an estimate (the value is less than the minimum calibration level but greater than the estimated detection limit)"
CLC,,,,,,Pass,"Correction Factor, other"
CNT,,,,,,Suspect,Non-acceptable colony counts.
CON,,,,,,Pass,Value Confirmed
CSR,,,,,,Suspect,Calibration standard acceptance criteria not met
CUG,,,,,,Pass,"CC U G; Co-eluting congener, the analyte was not detected in the sample at the estimated detection limit and lock mass interference present"
D,,,,,,Suspect,"Contract Required Quantitation Limit (CRQL) not met due to sample matrix interference, dilution required.  "
D>T,,,,,,Non-Detect,Result dissolved concentration was greater than its total and the absolute difference was greater than or equal to the total MDL - set to Detected Not Quantified
DE,,,,,,Suspect,Serial dilution acceptance criteria not met.
DEC,,,,,,Pass,Value Decensored -  reconstruct or remove the objectionable values of a measurement set
DOM,,,,,,Pass,count >= 15 percent (dominant)
DT,,,,,,Suspect,Date value on logger was incorrect; Changed to date of sampling event; Date and Time considered suspect.
E,,,,,,Over-Detect,Concentration of analyte being analyzed exceeded calibration range of instrument.
ECI,,,,,,Pass,"Estimated Value, Coelution"
EE,,,,,,Over-Detect,Identifies compounds whose concentration exceed the calibration range addition of the instrument for that specific analysis.
EER,,,,,,Suspect,"No Result Reported, entry error; Original value is known to be incorrect due to a data entry error.  The correct value could not be determined. No result value was reported"
EFAI,,,,,,Suspect,Equipment failure
EMCL,,,,,,Not Reviewed,Value Exceeds Maximum Contaminant Level
EMPC,,,,,,Suspect,Estimated Maximum Possible Concentration
ESD,,,,,,Suspect,"Estimated Value, serial dilution difference"
EST,,,,,,Suspect,"Estimated Value, outside limit of precision"
EVA,,,,,,Suspect,"Estimated Value, multiple Aroclors"
EVAD,,,,,,Suspect,"Estimated Value, degradation"
EVID,,,,,,Suspect,"Estimated Value, tentatively identified compound"
F,,,,,,Suspect,Estimated value: compound failed initial calibration check (CCC) or QC criteria
FDB,,,,,,Suspect,"Dry Blank, failed"
FDC,,,,,,Suspect,"Drift Check, failed"
FDL,,,,,,Suspect,"Lab Duplicate, failed"
FEQ,,,,,,Suspect,Field Equipment Questionable
FFB,,,,,,Suspect,Failed. Field blank not acceptable.
FFD,,,,,,Suspect,"Field Duplicate, failed"
FFS,,,,,,Suspect,Failed. Field spike not acceptable.
FFT,,,,,,Suspect,Failed. Trip blank not acceptable.
FH,,,,,,Suspect,"Failed high at audit check during deployment. Could include pre, mid or post deployment check."
