wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
#/100mL|#/100ml|#/dL|#/dl,#/100ml,#/100ml|#/100mL,,,,cfu/100mL,x,
%,%,%,%,%,%,%,x,
% recovery,% recovery,,,,,% recovery,x,
ATU,ATU,,,,,ATU,x,
AU,AU,,,,,AU,x,
BU,BU,,,,,BU,x,
cfm,cfm,,,,,cfs,x / 60,
cfs|ft3/sec,cfs,cfs,,,,cfs,x,
cfu/100mL|cfu/100ml|#col/100mL|#col/100ml,cfu/100ml,CFU/100ml|CFU/100mL|CFU/100,,,,cfu/100mL,x,
cm,cm,,,,,m,x / 100,
deg C,deg C,C|c,C,DEG C,Deg C|DEG C,deg C,x,
deg F,deg F,F|f,,,,deg C,(x - 32) / 1.8,x * 1.8 + 32
FAU,FAU,,,,,FAU,x,
FBU,FBU,,,,,FBU,x,
FNMU,FNMU,,,,,FNMU,x,
FNRU,FNRU,,,,,FNRU,x,
FNU,FNU,,,FNU,FNU,FNU,x,
ft,ft,ft,feet,,,m,x / 3.28084,
FTU,FTU,,,,,FTU,x,
g/kg,g/kg,,,,,ug/kg,x * 1000000,
JTU,JTU,,,,,JTU,x,
L/min|l/min,l/min,,,,,cfs,x * 0.000588578,
L/sec|l/sec,l/sec,,,,,cfs,x * 0.035314667,
m,m,m,m,M,m|M,m,x,
mg/L|mg/l,mg/l,mg/l|mg/L,mg/L,MG/L,mg/L|MG/L,ug/L,x * 1000,
Mgd,mgd,MGD,,,,cfs,x * 1.547228652,
MPN/100mL|MPN/100ml,MPN/100ml,MPN/100ml|MPN/100mL|MPN/100,MPN/100mL,,,cfu/100mL,x,
mS/cm,mS/cm,,,,,uS/cm,x * 1000,
None|nu,None|s.u.,S.U.,,STU,STU,None,x,
NTMU,NTMU,,,,,NTMU,x,
NTRU,NTRU,,,,,NTRU,x,
NTU,NTU,NTU,NTU,NTU,,NTU,x,
ppm,ppm,,,,,ug/kg,x * 1000,
ppt,ppt,ppt,,,,ug/kg,x * 0.001,
