wqx,masswater,wqdashboard,ri_dem,ma_brc,me_dep,me_focb,ri_ww
"Temperature, air","Air Temp|Temperature, air","Temperature, air",,Air Temperature,,,
Ammonia|Ammonia-nitrogen,Ammonia,Ammonia|Ammonia-nitrogen,"Nitrogen, Ammonia Dissolved as N - 00608",,NH3 AS N|AMMONIA AS NITROGEN,NH3 AS N|AMMONIA AS NITROGEN,"Nitrogen, Ammonia Dissolved as N - 00608"
Ammonium,Ammonium,Ammonium,,,NH4 AS N|AMMONIUM AS NITROGEN,NH4 AS N|AMMONIUM AS NITROGEN,
Chlorophyll a (probe)|Chlorophyll a (probe relative fluorescence),Chl a (probe)|Chlorophyll a (probe),Chlorophyll a (probe)|Chlorophyll a (probe relative fluorescence),,,,,
Chlorophyll a,Chl a|Chlorophyll a,Chlorophyll a,,,CHLOROPHYLL,Chlorophyll|CHLOROPHYLL,
Chloride,Chloride,Chloride,Chloride - 00940,,,,Chloride - 00940
Conductivity|Conductance,Conductivity,Conductivity|Conductance,,Conductivity,,,
"Algae, blue-green (phylum cyanophyta) density","Cyanobacteria (lab)|Algae, blue-green (phylum cyanophyta) density","Algae, blue-green (phylum cyanophyta) density",,,,,
"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)","Cyanobacteria (probe)|Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)","Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",,,,,
Depth,Depth,Depth,"Depth to bottom from water surface at sampling location, meters - 82903",Water Depth,DEPTH,Water Depth|DEPTH,"Depth to bottom from water surface at sampling location, meters - 82903"
Dissolved oxygen saturation,DO saturation|Dissolved oxygen saturation,Dissolved oxygen saturation,Dissolved Oxygen Percent Saturation - 00301,Dissolved Oxy Saturation,DO SAT|DISSOLVED OXYGEN SATURATION,DO Saturation|DO SAT|DISSOLVED OXYGEN SATURATION,Dissolved Oxygen Percent Saturation - 00301
Dissolved oxygen (DO),DO|Dissolved oxygen (DO),Dissolved oxygen (DO),Dissolved Oxygen - 00300,Dissolved Oxygen,DO|DISSOLVED OXYGEN,Dissolved Oxygen|DO|DISSOLVED OXYGEN,Dissolved Oxygen - 00300
Escherichia coli,E.coli|Escherichia coli,E. coli|Escherichia coli,E.coli - 31633,E. coli,,,E.coli - 31633
Enterococcus,Enterococcus,Enterococcus,Enterococci - 31639,,,,Enterococci - 31639
Fecal Coliform,Fecal Coliform,Fecal Coliform,Fecal Coliform - 74055,,,,Fecal Coliform - 74055
Flow,Flow,Flow,Flow - 50050,,,,Flow - 50050
"Height, gage","Gage|Height, gage","Height, gage",,,,,
Metals,Metals,Metals,,,,,
Microcystins,Microcystins,Microcystins,,,,,
Nitrate,Nitrate,Nitrate,,Nitrate,,,
