wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
#/100mL|#/100ml|#/dL|#/dl,#/100ml,#/100ml|#/100mL,,,,cfu/100mL,x,x,#/100mL|#/100ml|#/dL|#/dl,#/100ml|#/100mL
%,%,%,%,%,%,%,x,x,%,%
% recovery,% recovery,,,,,% recovery,x,x,% recovery,
ATU,ATU,,,,,ATU,x,x,ATU,
AU,AU,,,,,AU,x,x,AU,
BU,BU,,,,,BU,x,x,BU,
cfm,cfm,,,,,cfs,x / 60,x * 60,cfm,
cfs|ft3/sec,cfs,cfs,,,,cfs,x,x,cfs|ft3/sec,cfs
cfu/100mL|cfu/100ml|#col/100mL|#col/100ml,cfu/100ml,CFU/100ml|CFU/100mL|CFU/100,,,,cfu/100mL,x,x,cfu/100mL|cfu/100ml|#col/100mL|#col/100ml,CFU/100ml|CFU/100mL|CFU/100
cm,cm,,,,,m,x / 100,x * 100,cm,
deg C,deg C,C|c,C,DEG C,Deg C|DEG C,deg C,x,x,deg C,C|c
deg F,deg F,F|f,,,,deg C,(x - 32) / 1.8,x * 1.8 + 32,deg F,F|f
FAU,FAU,,,,,FAU,x,x,FAU,
FBU,FBU,,,,,FBU,x,x,FBU,
FNMU,FNMU,,,,,FNMU,x,x,FNMU,
FNRU,FNRU,,,,,FNRU,x,x,FNRU,
FNU,FNU,,,FNU,FNU,FNU,x,x,FNU,
ft,ft,ft,feet,,,m,x / 3.28084,x * 3.28084,ft,ft
FTU,FTU,,,,,FTU,x,x,FTU,
g/kg,g/kg,,,,,ug/kg,x * 1000000,x / 1000000,g/kg,
JTU,JTU,,,,,JTU,x,x,JTU,
L/min|l/min,l/min,,,,,cfs,x * 0.000588578,x / 0.000588578,L/min|l/min,
L/sec|l/sec,l/sec,,,,,cfs,x * 0.035314667,x / 0.035314667,L/sec|l/sec,
m,m,m,m,M,m|M,m,x,x,m,m
mg/L|mg/l,mg/l,mg/l|mg/L,mg/L,MG/L,mg/L|MG/L,ug/L,x * 1000,x / 1000,mg/L|mg/l,mg/l|mg/L
Mgd,mgd,MGD,,,,cfs,x * 1.547228652,x / 1.547228652,Mgd,MGD
MPN/100mL|MPN/100ml,MPN/100ml,MPN/100ml|MPN/100mL|MPN/100,MPN/100mL,,,cfu/100mL,x,x,MPN/100mL|MPN/100ml,MPN/100ml|MPN/100mL|MPN/100
mS/cm,mS/cm,,,,,uS/cm,x * 1000,x / 1000,mS/cm,
None|nu,None|s.u.,S.U.,,STU,STU,None,x,x,None|nu,S.U.
NTMU,NTMU,,,,,NTMU,x,x,NTMU,
NTRU,NTRU,,,,,NTRU,x,x,NTRU,
NTU,NTU,NTU,NTU,NTU,NTU,NTU,x,x,NTU,NTU
ppm,ppm,,,,,ug/kg,x * 1000,x / 1000,ppm,
ppt,ppt,ppt,,,,ug/kg,x * 0.001,x / 0.001,ppt,ppt
ppth,ppth,,,PPTH,PPTH,ug/kg,x * 1000000,x / 1000000,ppth,
PSS,PSS,,,PSS,PSS,PSS,x,x,PSS,
PSU,PSU,,,PSU,PSU,ug/kg,x * 1000000,x / 1000000,PSU,
S/m,S/m,,,,,uS/cm,x * 10000,x / 10000,S/m,
ug/L|ug/l,ug/l,ug/l|ug/L,,UG/L,ug/L|UG/L,ug/L,x,x,ug/L|ug/l,ug/l|ug/L
umol/L|umol/l,umol/l,,,UMOL/L,UMOL/L,mmol/L,x * 0.001,x / 0.001,umol/L|umol/l,
uS/cm|umho/cm,uS/cm,uS/cm at 25 degrees C|umhos/cm,uS/cm|uS,,,uS/cm,x,x,uS/cm|umho/cm,uS/cm at 25 degrees C|umhos/cm
CU,,CU,,,,PCU,x,x,CU,CU
gal/day,,GPD,,,,cfs,x * 0.00000155,x / 0.00000155,gal/day,GPD
gal/min,,GPM,,,,cfs,x * 0.002228009,x / 0.002228009,gal/min,GPM
lb/day,,lbs/day,,,,lb/day,x,x,lb/day,lbs/day
mi,,Mile,,,,m,x * 1609.344,x / 1609.344,mi,Mile
mL/L|ml/l,,ml/l|mL/L,,,,mm3/L,x * 1000,x / 1000,mL/L|ml/l,ml/l|mL/L
ng/L|ng/l,,ng/l|ng/L,,,,ug/L,x * 0.001,x / 0.001,ng/L|ng/l,ng/l|ng/L
mi2,,Sq Mi,,,,m2,x * 2589988.11,x / 2589988.11,mi2,Sq Mi
beaufort,,,,BFT,BFT,beaufort,x,x,beaufort,
Deg,,,,DEG TRUE,DEG True|DEG TRUE,Deg,x,x,Deg,
hours,,,,H,H,minutes,x * 60,x / 60,hours,
umol/m2/s,,,,UMOL/M2/SEC,UMOL/M2/SEC,umol/m2/s,x,x,umol/m2/s,
#/100gal,,,,,,cfu/100mL,x * 0.000264172,x / 0.000264172,#/100gal,
#/100L|#/100l,,,,,,cfu/100mL,x * 1000,x / 1000,#/100L|#/100l,
#/10L|#/10l,,,,,,cfu/100mL,x * 0.01,x / 0.01,#/10L|#/10l,
#/500mL|#/500ml,,,,,,cfu/100mL,x / 5,x * 5,#/500mL|#/500ml,
#/acre,,,,,,#/m2,x * 0.000247104,x / 0.000247104,#/acre,
#/cm,,,,,,#/cm,x,x,#/cm,
#/cm2,,,,,,#/m2,x * 10000,x / 10000,#/cm2,
#/cm3,,,,,,cfu/100mL,x * 100,x / 100,#/cm3,
#/day,,,,,,counts/sec,x * 86400,x / 86400,#/day,
#/ft2,,,,,,#/m2,x * 10.76391042,x / 10.76391042,#/ft2,
#/g,,,,,,#/g,x,x,#/g,
#/ha,,,,,,#/m2,x * 0.0001,x / 0.0001,#/ha,
#/hr,,,,,,counts/sec,x * 3600,x / 3600,#/hr,
#/in2,,,,,,#/m2,x * 1550.0031,x / 1550.0031,#/in2,
#/km2,,,,,,#/m2,x * 0.000001,x / 0.000001,#/km2,
#/L|#/l,,,,,,cfu/100mL,x * 0.1,x / 0.1,#/L|#/l,
#/m2,,,,,,#/mm2,x * 1000000,x / 1000000,#/m2,
#/m3,,,,,,cfu/100mL,x * 0.0001,x / 0.0001,#/m3,
#/mi2,,,,,,#/m2,x * 0.000000386,x / 0.000000386,#/mi2,
#/min,,,,,,counts/sec,x / 60,x * 60,#/min,
#/mL|#/ml,,,,,,cfu/100mL,x * 100,x / 100,#/mL|#/ml,
#/mm2,,,,,,#/mm2,x,x,#/mm2,
#/mm2/week,,,,,,#/mm2/week,x,x,#/mm2/week,
#/um3,,,,,,#/um3,x,x,#/um3,
#/yd2,,,,,,#/m2,x * 1.195990046,x / 1.195990046,#/yd2,
% by vol,,,,,,% by vol,x,x,% by vol,
% by wt,,,,,,% by wt,x,x,% by wt,
% CaCO3,,,,,,% CaCO3,x,x,% CaCO3,
% Cover,,,,,,% Cover,x,x,% Cover,
% passing,,,,,,% passing,x,x,% passing,
% sediment,,,,,,% sediment,x,x,% sediment,
% solids,,,,,,% solids,x,x,% solids,
%/cm,,,,,,%/cm,x,x,%/cm,
(kg/sec)/m,,,,,,(kg/sec)/m,x,x,(kg/sec)/m,
0/00,,,,,,ug/kg,x * 0.001,x / 0.001,0/00,
1000m3/day,,,,,,1000m3/day,x,x,1000m3/day,
ac,,,,,,m2,x * 4046.856422,x / 4046.856422,ac,
ac-ft,,,,,,m3,x * 1233.489,x / 1233.489,ac-ft,
ac-in,,,,,,m3,x * 102.7901546,x / 102.7901546,ac-in,
ADMI value,,,,,,ADMI value,x,x,ADMI value,
amps,,,,,,amps,x,x,amps,
Angst,,,,,,m,x * 0.0000000001,x / 0.0000000001,Angst,
atm,,,,,,g/m2,x * 10332274.53,x / 10332274.53,atm,
AU/cm,,,,,,AU/cm,x,x,AU/cm,
bar,,,,,,g/m2,x * 10197162.13,x / 10197162.13,bar,
bbl,,,,,,L,x * 0.008386448,x / 0.008386448,bbl,
Bq/g,,,,,,Bq/g,x,x,Bq/g,
Bq/L|Bq/l,,,,,,Bq/L,x,x,Bq/L|Bq/l,
BTU,,,,,,kcal,x * 0.251995761,x / 0.251995761,BTU,
BTU/ft3,,,,,,BTU/ft3,x,x,BTU/ft3,
cal,,,,,,kcal,x * 0.001,x / 0.001,cal,
cal/cm2/day,,,,,,cal/cm2/day,x,x,cal/cm2/day,
cal/cm2/hr,,,,,,cal/cm2/hr,x,x,cal/cm2/hr,
cal/cm2/min,,,,,,cal/cm2/min,x,x,cal/cm2/min,
CCE/100mL|CCE/100ml,,,,,,CCE/100mL,x,x,CCE/100mL|CCE/100ml,
cd,,,,,,cd,x,x,cd,
CE/100mL|CE/100ml,,,,,,CE/100mL,x,x,CE/100mL|CE/100ml,
cells/dL|cells/dl,,,,,,cells/dL,x,x,cells/dL|cells/dl,
CFU,,,,,,CFU,x,x,CFU,
cfu/100g,,,,,,cfu/100g,x,x,cfu/100g,
cfu/10mL|cfu/10ml,,,,,,cfu/100mL,x / 10,x * 10,cfu/10mL|cfu/10ml,
cfu/gdw,,,,,,cfu/gdw,x,x,cfu/gdw,
cfu/L|cfu/l,,,,,,cfu/100mL,x * 10,x / 10,cfu/L|cfu/l,
cfu/mL|cfu/ml,,,,,,cfu/100mL,x * 100,x / 100,cfu/mL|cfu/ml,
cm/sec,,,,,,m/sec,x * 0.01,x / 0.01,cm/sec,
cm2,,,,,,m2,x * 0.0001,x / 0.0001,cm2,
